id,agencia,CATEGORÍA CENSO 1,CANTIDAD DE SCHOPERAS CCU,CANTIDAD DE SALIDAS,CANTIDAD DE SHOPERAS COMPETENCIA ,CCU/ABINBEV/OTRAS MARCAS COMPETENCIA
703949,PK,LOCALES EN REGLA,1,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2270802,PK,LOCALES EN REGLA,0,0,0,
2333477,CORPA,LOCALES EN REGLA,0,2,1,AUSTRAL
2221296,PK,LOCALES EN REGLA,1,1,1,CRISTAL ( de CCU)CUSQUENA (de ABINBEV)STELLA ARTOIS (de ABINBEV)
2202833,CORPA,LOCALES EN REGLA,0,2,1,AUSTRAL
#N/A,SIN CENSO,LOCALES EN REGLA,,,,
741672,PK,LOCALES EN REGLA,0,0,0,
1316155,PK,LOCALES EN REGLA,0,0,0,
2280735,PK,LOCALES EN REGLA,0,0,0,
#N/A,SIN CENSO,LOCALES EN REGLA,,,,
805971,CORPA,LOCALES EN REGLA,1,3,0,BUDWEISERSTELLA ARTOIS
2254685,CORPA,LOCALES EN REGLA,1,4,2,AUSTRAL
2319882,CORPA,LOCALES EN REGLA,1,4,2,AUSTRAL
677402,PK,LOCALES EN REGLA,4,1,1,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)HEINEKEN ( de CCU)CRISTAL ( de CCU)STELLA ARTOIS (de ABINBEV)
677401,PK,LOCALES EN REGLA,4,1,1,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)HEINEKEN ( de CCU)CRISTAL ( de CCU)STELLA ARTOIS (de ABINBEV)
1545513,CORPA,LOCALES EN REGLA,1,4,1,
1383231,CORPA,LOCALES EN REGLA,1,4,1,
2234846,PK,LOCALES EN REGLA,0,0,0,
1509005,PK,LOCALES EN REGLA,1,3,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1422137,PK,LOCALES EN REGLA,1,3,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
614377,CORPA,LOCALES EN REGLA,1,1,0,
614380,CORPA,LOCALES EN REGLA,1,1,0,
711829,PK,LOCALES EN REGLA,1,1,0,CRISTAL ( de CCU)
2152662,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
1694002,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
894801,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
830502,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
2228155,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)ROYAL GUARD  ( de CCU)
2278058,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)ROYAL GUARD  ( de CCU)
613369,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
613371,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
719915,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
673644,CORPA,LOCALES EN REGLA,1,2,0,BUDWEISERSTELLA ARTOIS
839832,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
712576,PK,LOCALES EN REGLA,2,1,0,HEINEKEN ( de CCU)HEINEKEN ( de CCU)
750154,PK,LOCALES EN REGLA,1,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
169733,PK,LOCALES EN REGLA,0,0,0,
716001,PK,LOCALES EN REGLA,1,2,0,AUSTRAL ( de CCU)KUNTSMANN ( de CCU)
788297,PK,LOCALES EN REGLA,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
742926,CORPA,LOCALES EN REGLA,1,3,0,BUDWEISERSTELLA ARTOIS
573762,PK,LOCALES EN REGLA,1,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
544846,PK,LOCALES EN REGLA,1,1,0,ESCUDO ( de CCU)
2302602,CORPA,LOCALES EN REGLA,1,2,0,AUSTRAL
2197022,CORPA,LOCALES EN REGLA,1,2,0,AUSTRAL
,PK,LOCALES EN REGLA,1,6,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)STELLA ARTOIS (de ABINBEV)
2268049,PK,LOCALES EN REGLA,1,6,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)STELLA ARTOIS (de ABINBEV)
935057,PK,LOCALES EN REGLA,1,1,0,HEINEKEN ( de CCU)
890828,CORPA,LOCALES EN REGLA,1,3,0,BUDWEISERSTELLA ARTOIS
2337755,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)AUSTRAL ( de CCU)CRISTAL ( de CCU)DOLBEK ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)
549538,PK,LOCALES EN REGLA,1,2,0,KUNTSMANN ( de CCU)
764132,PK,LOCALES EN REGLA,1,2,0,KUNTSMANN ( de CCU)
2247473,PK,LOCALES EN REGLA,2,1,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
528822,CORPA,IMPLEMENTADO,3,2,0,BUDWEISERSTELLA ARTOIS
1656668,PK,CCU/Cuestionados,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
1353757,PK,CCU/Cuestionados,1,2,0,CRISTAL ( de CCU)KUNTSMANN ( de CCU)
2275226,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
765817,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,BUDWEISERSTELLA ARTOIS
810456,CORPA,CCU/Cuestionados,1,3,0,BUDWEISERSTELLA ARTOIS
2138883,PK,IMPLEMENTADO,1,4,0,CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
887293,,,,,,
1356900,CORPA,IMPLEMENTADO,,,,
1363542,,,,,,
2290587,CORPA,IMPLEMENTADO,1,2,0,AUSTRAL
2281979,CORPA,IMPLEMENTADO,1,2,0,AUSTRAL
2296055,PK,IMPLEMENTADO,2,5,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)PATAGONIA ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)
2240338,PK,IMPLEMENTADO,2,5,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)PATAGONIA ( de CCU)CRISTAL ( de CCU)HEINEKEN ( de CCU)
544072,PK,IMPLEMENTADO,1,4,0,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
2046168,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
884316,CORPA,CCU/Cuestionados,,,,BUDWEISERSTELLA ARTOIS
1347912,CORPA,NO REPORTADO COMO IMPLEMENTADO,3,2,0,CRISTALROYAL GUARD
1359947,CORPA,CCU/Cuestionados,,,,
1321196,CORPA,IMPLEMENTADO,2,4,0,CRISTALROYAL GUARD
687558,PK,IMPLEMENTADO,2,3,0,AUSTRAL ( de CCU)CRISTAL ( de CCU)ROYAL GUARD  ( de CCU)KUNTSMANN ( de CCU)
1739248,CORPA,CCU/Cuestionados,,,,
2309300,PK,IMPLEMENTADO,0,0,1,AUSTRAL ( de CCU)DOLBEK ( de CCU)HEINEKEN ( de CCU)QUILMES (de ABINBEV)
795320,CORPA,IMPLEMENTADO,1,3,0,
